Date,equipe1,score,equipe2
13/07/2019,CD Lagun Onak (ESP),0 - 5,Real Sociedad San-Sebastian
20/07/2019,Racing Santander (ESP),1 - 0,Real Sociedad San-Sebastian
26/07/2019,Nottingham Forest (ANG),2 - 2,Real Sociedad San-Sebastian
27/07/2019,Real Sociedad San-Sebastian,3 - 3,Millwall (ANG)
31/07/2019,Deportivo Alavés (ESP),0 - 1,Real Sociedad San-Sebastian
03/08/2019,Watford (ANG),2 - 1,Real Sociedad San-Sebastian
09/08/2019,Real Sociedad San-Sebastian,2 - 0,Osasuna Pampelune (ESP)
10/08/2019,Real Sociedad San-Sebastian,1 - 2,Eibar SD (ESP)
05/09/2019,Real Sociedad San-Sebastian,0 - 0,Deportivo Alavés (ESP)
10/10/2019,Osasuna Pampelune (ESP),0 - 0,Real Sociedad San-Sebastian
14/11/2019,Real Sociedad San-Sebastian,0 - 1,Osasuna Pampelune (ESP)
17/08/2019,Valence CF (11),1 - 1,Real Sociedad San-Sebastian (12)
25/08/2019,Real Majorque (10),0 - 1,Real Sociedad San-Sebastian (6)
30/08/2019,Athletic Bilbao (3),2 - 0,Real Sociedad San-Sebastian (13)
14/09/2019,Real Sociedad San-Sebastian (7),2 - 0,Atlético Madrid (2)
22/09/2019,Espanyol Barcelone (18),1 - 3,Real Sociedad San-Sebastian (4)
26/09/2019,Real Sociedad San-Sebastian (2),3 - 0,Deportivo Alavés (17)
29/09/2019,FC Séville (6),3 - 2,Real Sociedad San-Sebastian (5)
06/10/2019,Real Sociedad San-Sebastian (5),1 - 2,Getafe CF (12)
20/10/2019,Real Sociedad San-Sebastian (4),3 - 1,Real Betis Balompié Séville (18)
27/10/2019,Celta Vigo (17),0 - 1,Real Sociedad San-Sebastian (3)
30/10/2019,Real Sociedad San-Sebastian (6),1 - 2,Levante UD (11)
03/11/2019,Grenade CF (6),1 - 2,Real Sociedad San-Sebastian (3)
08/11/2019,Real Sociedad San-Sebastian (5),1 - 1,CD Leganés (20)
23/11/2019,Real Madrid (2),3 - 1,Real Sociedad San-Sebastian (6)
30/11/2019,Real Sociedad San-Sebastian (4),4 - 1,Eibar SD (16)
08/12/2019,Real Valladolid (14),0 - 0,Real Sociedad San-Sebastian (4)
14/12/2019,Real Sociedad San-Sebastian (6),2 - 2,FC Barcelone (1)
22/12/2019,Osasuna Pampelune (12),3 - 4,Real Sociedad San-Sebastian (5)
05/01/2020,Real Sociedad San-Sebastian (5),1 - 2,Villarreal CF (9)
19/01/2020,Real Betis Balompié Séville (11),3 - 0,Real Sociedad San-Sebastian (6)
26/01/2020,Real Sociedad San-Sebastian (6),3 - 0,Real Majorque (17)
02/02/2020,CD Leganés (18),2 - 1,Real Sociedad San-Sebastian (8)
09/02/2020,Real Sociedad San-Sebastian (6),2 - 1,Athletic Bilbao (9)
22/02/2020,Real Sociedad San-Sebastian (3),3 - 0,Valence CF (8)
28/02/2020,Real Sociedad San-Sebastian (3),1 - 0,Real Valladolid (15)
07/03/2020,FC Barcelone (1),1 - 0,Real Sociedad San-Sebastian (4)
10/03/2020,Eibar SD (16),1 - 2,Real Sociedad San-Sebastian (4)
14/06/2020,Real Sociedad San-Sebastian (4),1 - 1,Osasuna Pampelune (11)
18/06/2020,Deportivo Alavés (12),2 - 0,Real Sociedad San-Sebastian (6)
21/06/2020,Real Sociedad San-Sebastian (7),1 - 2,Real Madrid (2)
24/06/2020,Real Sociedad San-Sebastian (7),0 - 1,Celta Vigo (16)
29/06/2020,Getafe CF (5),2 - 1,Real Sociedad San-Sebastian (7)
02/07/2020,Real Sociedad San-Sebastian (7),2 - 1,Espanyol Barcelone (20)
06/07/2020,Levante UD (12),1 - 1,Real Sociedad San-Sebastian (7)
10/07/2020,Real Sociedad San-Sebastian (7),2 - 3,Grenade CF (8)
13/07/2020,Villarreal CF (5),1 - 2,Real Sociedad San-Sebastian (7)
16/07/2020,Real Sociedad San-Sebastian (6),0 - 0,FC Séville (4)
19/07/2020,Atlético Madrid (3),1 - 1,Real Sociedad San-Sebastian (6)
19/12/2019,CD Becerril (ESP),0 - 8,Real Sociedad San-Sebastian
